"","B_TPI","C1_Pop_15","F_Access"
"1",6.33246,5.39153,46.9581320450886
"2",6.33246,5.63539,48.1840277777778
"3",7.42836,8.00982,54.1829573934837
"4",8.10929,8.81959,58.5853658536585
"5",8.94741,10.1589,59.7135416666667
"6",9.53746,11.1142,63.8202
"7",9.89914,11.9983,70.7506527415144
"8",11.5047,14.5126,75.7410714285714
