service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1,1,1,1,1,1,0,0,20151213,20160326
2,0,0,0,0,0,1,0,20151213,20160326
3,0,0,0,0,0,0,1,20151213,20160326
4,0,0,0,0,0,0,0,20151213,20160326
8401,0,0,0,0,0,0,0,20151213,20160326
8402,0,0,0,0,0,0,0,20151213,20160326
8403,0,0,0,0,0,0,0,20151213,20160326
8404,0,0,0,0,0,0,0,20151213,20160326
